Number,Name,WS,BPM,VORP,DARKO,CPM,Salary
97,De'Andre Hunter,4.4,0.4,1,0.3,-0.1,"$21,696,429"
256,Jock Landale,1.7,0.4,0.3,-0.4,-0.1,"$8,000,000"
143,Quentin Grimes,3.4,0.4,1.2,-0.4,-0.2,"$4,296,682"
399,Kevin Love,0.4,0.4,0.2,-1.4,-0.3,"$3,850,000"
103,Nic Claxton,4.3,0.4,1.1,-0.8,-0.6,"$27,556,817"
228,Jordan Poole,2,0.4,1.2,-1.4,-1.3,"$29,651,786"
291,Jeff Green,1.3,0.4,0.2,-4.4,-3.3,"$8,000,000"
104,Kevon Looney,4.3,0.3,0.7,0.7,1.8,"$8,000,000"
166,Dean Wade,3,0.3,0.7,0.7,1.8,"$6,166,667"
212,Steven Adams,2.3,0.3,0.5,1.9,1.3,"$12,600,000"
147,Sam Merrill,3.3,0.3,0.8,-0.1,1.1,"$2,164,993"
22,Christian Braun,8,0.3,1.6,0.2,0.8,"$3,089,640"
197,Nikola Jovic,2.5,0.3,0.7,0.5,0.4,"$2,464,200"
252,Alec Burks,1.8,0.3,0.5,0.2,0.1,"$2,087,519"
306,Cam Thomas,1.2,0.3,0.5,0,-0.7,"$4,041,249"
249,Cam Whitmore,1.8,0.3,0.5,-1,-1.1,"$3,379,080"
301,Lonzo Ball,1.2,0.2,0.4,1.4,1.8,"$21,395,348"
57,Luguentz Dort,5.6,0.2,1.2,0.7,1.1,"$16,500,000"
190,Bobby Portis,2.7,0.2,0.7,0,0.1,"$12,578,286"
171,Jake LaRavia,2.9,0.2,0.8,-1.3,-0.7,"$3,352,680"
361,Jared McCain,0.7,0.2,0.3,-1.9,-1.7,"$4,020,360"
68,Tobias Harris,5.2,0.1,1.2,1.4,1.6,"$25,365,854"
175,Royce O'Neale,2.8,0.1,1,-0.2,0.4,"$9,375,000"
230,Cole Anthony,2,0.1,0.7,-0.6,-0.3,"$12,900,000"
397,Moses Brown,0.4,0.1,0.1,,-0.8,"$426,632"
94,Tyus Jones,4.4,0.1,1.1,-1.1,-1.1,"$2,087,519"
254,Quinten Post,1.7,0.1,0.4,-1.5,-1.2,"$438,920"
45,Jaden McDaniels,6.3,0,1.4,0.9,1.3,"$23,017,242"
71,Jaylen Brown,5.2,0,1.1,1.8,0.9,"$49,205,800"
260,Dwight Powell,1.7,0,0.3,1.3,0.9,"$4,000,000"
154,Miles McBride,3.2,0,0.8,-0.3,0.8,"$4,710,144"
183,Zach Collins,2.7,0,0.5,-0.5,0.3,"$16,741,200"
58,Harrison Barnes,5.6,0,1.2,-0.7,-0.7,"$18,000,000"
412,Brandon Miller,0.4,0,0.4,-1.8,-0.9,"$11,424,600"
304,Jaden Ivey,1.2,0,0.5,-1,-1.6,"$7,977,240"
67,Toumani Camara,5.2,-0.1,1.2,0.6,1.5,"$1,891,857"
42,Michael Porter Jr.,6.4,-0.1,1.2,1.7,0.9,"$35,859,950"
35,DeMar DeRozan,7.1,-0.1,1.3,0.7,0.7,"$23,400,000"
84,Zach Edey,4.9,-0.1,0.7,-0.8,0.6,"$5,756,880"
112,Kel'el Ware,4.1,-0.1,0.7,-0.8,-0.1,"$4,231,800"
111,Anfernee Simons,4.2,-0.1,1.1,-1,-1.1,"$25,892,857"
400,Keshad Johnson,0.4,-0.1,0,-1.8,-2,"$724,883"
215,Cameron Payne,2.3,-0.2,0.5,0.3,0.6,"$2,087,519"
380,Chuma Okeke,0.6,-0.2,0.1,-0.5,-0.9,"$355,687"
267,Jaylen Clark,1.6,-0.2,0.2,-2.1,-1.7,"$492,323"
218,Lauri Markkanen,2.2,-0.3,0.7,0.9,1,"$42,176,400"
89,Derrick Jones Jr.,4.7,-0.3,0.8,0.8,0.8,"$9,523,810"
114,Donovan Clingan,4,-0.3,0.6,-1,0.8,"$6,836,400"
127,Jaxson Hayes,3.7,-0.3,0.5,-0.2,0.7,"$2,463,946"
204,Grayson Allen,2.5,-0.3,0.7,0.7,0.2,"$15,625,000"
330,Duop Reath,1,-0.3,0.2,-0.7,-1,"$2,048,780"
322,Paul George,1,-0.4,0.5,2.4,2.3,"$49,205,800"
239,D'Angelo Russell,1.9,-0.4,0.6,0.6,1,"$18,692,307"
102,Nickeil Alexander-Walker,4.3,-0.4,0.8,0.3,0.6,"$4,312,500"
55,Mikal Bridges,5.7,-0.5,1.2,-0.1,0.5,"$23,300,000"
202,Isaac Okoro,2.5,-0.5,0.4,0.6,0.4,"$10,185,186"
253,Ryan Rollins,1.7,-0.5,0.3,0.1,0.4,"$1,091,887"
174,Aaron Nesmith,2.9,-0.5,0.4,0.4,0.2,"$11,000,000"
178,Justin Champagnie,2.8,-0.5,0.5,0,-0.2,"$1,800,000"
251,Ben Simmons,1.8,-0.5,0.4,-0.7,-0.6,"$40,011,909"
376,Jared Rhoden,0.6,-0.5,0.1,-1.6,-1.7,"$119,972"
300,Mouhamed Gueye,1.2,-0.6,0.2,-0.6,0.5,"$1,891,857"
126,Mason Plumlee,3.7,-0.6,0.5,0.2,0.1,"$2,087,519"
219,Kevin Porter Jr.,2.2,-0.6,0.5,-0.3,-0.2,"$3,366,937"
237,Jonathan Kuminga,1.9,-0.6,0.4,0,-0.2,"$7,636,307"
420,Killian Hayes,0.3,-0.6,0.1,,-0.7,"$119,972"
245,Marcus Sasser,1.8,-0.6,0.3,-1.5,-0.9,"$2,755,080"
209,Collin Sexton,2.4,-0.6,0.6,0.3,-1.2,"$18,350,000"
255,Kelly Olynyk,1.7,-0.7,0.3,0.7,0.5,"$12,804,878"
270,Jae'Sean Tate,1.6,-0.7,0.2,-0.3,0.5,"$7,565,217"
100,Rui Hachimura,4.3,-0.7,0.6,-0.3,-0.1,"$17,000,000"
192,Trey Lyles,2.6,-0.7,0.4,-0.6,-0.2,"$8,000,000"
152,Neemias Queta,3.2,-0.7,0.3,-0.9,-0.3,"$2,162,606"
109,Jabari Smith Jr.,4.2,-0.7,0.6,-0.6,-0.6,"$9,770,880"
179,Deandre Ayton,2.8,-0.7,0.4,-1,-0.8,"$34,005,126"
261,Drew Eubanks,1.7,-0.7,0.3,-1.4,-0.8,"$5,000,000"
424,Bruno Fernando,0.3,-0.7,0.1,,-0.8,"$1,115,128"
161,Ochai Agbaji,3.1,-0.7,0.5,-1.9,-1.5,"$4,310,280"
442,De'Anthony Melton,0.2,-0.8,0,0.3,0.6,"$12,822,000"
137,Naji Marshall,3.5,-0.8,0.6,-0.6,-0.2,"$8,571,429"
176,Malik Monk,2.8,-0.8,0.6,-0.1,-0.4,"$17,405,203"
328,Jordan Goodwin,1,-0.8,0.2,-0.8,-0.4,"$223,718"
229,Jabari Walker,2,-0.8,0.2,-1,-1,"$2,019,699"
275,Cory Joseph,1.5,-0.8,0.2,-2.1,-1.3,"$3,303,771"
349,Dalano Banton,0.8,-0.8,0.3,-1,-1.4,"$2,196,970"
207,P.J. Washington,2.4,-0.9,0.5,0.8,0.4,"$15,500,000"
138,Moses Moody,3.5,-0.9,0.5,0.6,0.3,"$5,803,269"
324,Mo Bamba,1,-0.9,0.1,,-0.2,"$2,207,491"
93,Coby White,4.5,-0.9,0.7,-0.6,-0.6,"$12,000,000"
334,Ousmane Dieng,0.9,-0.9,0.1,-1.1,-1.2,"$5,027,040"
214,Jaime Jaquez Jr.,2.3,-0.9,0.4,-1.8,-1.3,"$3,685,800"
269,Jarace Walker,1.6,-0.9,0.3,-1.8,-1.6,"$6,362,520"
343,Torrey Craig,0.8,-0.9,0.1,-2,-1.7,"$3,625,162"
428,Tyler Smith,0.2,-0.9,0,-3,-3.2,"$1,157,153"
173,Dorian Finney-Smith,2.9,-1,0.5,0.8,0.9,"$14,924,167"
158,Clint Capela,3.2,-1,0.3,0.5,0.6,"$22,265,280"
280,Jarred Vanderbilt,1.4,-1,0.2,0.8,0.3,"$10,714,286"
281,Jared Butler,1.4,-1,0.3,0,-0.3,"$745,726"
180,Buddy Hield,2.8,-1,0.5,-0.3,-0.8,"$8,780,488"
119,Guerschon Yabusele,3.9,-1,0.5,-0.8,-1,"$2,087,519"
246,Klay Thompson,1.8,-1,0.5,-0.5,-1.1,"$15,873,016"
198,Kyle Filipowski,2.5,-1,0.4,-1,-1.2,"$3,000,000"
318,Charles Bassey,1.1,-1.1,0.1,-0.7,-0.8,"$2,087,519"
210,Bradley Beal,2.4,-1.1,0.4,-1,-1.2,"$50,203,930"
220,Devin Vassell,2.2,-1.1,0.4,-1.5,-1.3,"$29,347,826"
232,Russell Westbrook,1.9,-1.1,0.5,-1,-1.3,"$5,631,296"
90,Wendell Carter Jr.,4.6,-1.2,0.3,-0.1,0.8,"$11,950,000"
374,Marvin Bagley III,0.6,-1.2,0.1,-0.3,-0.1,"$12,500,000"
185,Jeremy Sochan,2.7,-1.2,0.3,-1.3,-1,"$5,570,040"
248,DeAndre Jordan,1.8,-1.2,0.2,-2.6,-1.5,"$2,087,519"
307,Brice Sensabaugh,1.2,-1.2,0.3,-1.6,-2.6,"$2,571,480"
271,Jusuf Nurkic,1.5,-1.3,0.2,1.7,1.9,"$18,125,000"
199,Julian Champagnie,2.5,-1.3,0.4,0.1,-0.7,"$3,000,000"
327,Kyle Lowry,1,-1.3,0.1,-2.1,-0.7,"$2,087,519"
436,Kevin Knox,0.2,-1.3,0,,-0.8,"$503,883"
297,Zeke Nnaji,1.2,-1.3,0.1,-2,-1.1,"$8,888,889"
163,Shaedon Sharpe,3,-1.3,0.4,-1.3,-1.7,"$6,614,160"
162,Terance Mann,3,-1.3,0.2,-1.8,-2,"$11,423,077"
365,Delon Wright,0.7,-1.4,0.1,0.3,0.9,"$2,087,519"
92,Kentavious Caldwell-Pope,4.6,-1.4,0.3,1.4,0.8,"$22,757,000"
303,Jose Alvarado,1.2,-1.4,0.2,0.6,0.7,"$1,988,598"
78,Dillon Brooks,5.1,-1.4,0.4,-0.2,0.1,"$22,255,493"
276,CJ McCollum,1.5,-1.4,0.3,0,-0.7,"$33,333,333"
357,Marcus Smart,0.7,-1.5,0.1,0,0.4,"$20,210,284"
358,Malcolm Brogdon,0.7,-1.5,0.1,-1.8,-1.1,"$22,500,000"
314,Jalen Pickett,1.1,-1.5,0.1,-1.9,-1.2,"$1,891,857"
405,Jordan Clarkson,0.4,-1.5,0.1,-1.9,-2.2,"$14,092,577"
387,David Roddy,0.5,-1.5,0.1,-2,-2.4,"$2,967,212"
375,Jordan McLaughlin,0.6,-1.6,0,0.8,1,"$2,087,519"
96,Keegan Murray,4.4,-1.6,0.2,0,0.2,"$8,809,560"
363,Grant Williams,0.7,-1.6,0.1,-0.2,-0.8,"$13,025,250"
441,Dejounte Murray,0.2,-1.6,0.1,-1.2,-0.8,"$29,517,135"
274,Garrison Mathews,1.5,-1.6,0.1,-0.4,-1,"$2,230,253"
125,Spencer Dinwiddie,3.7,-1.6,0.2,-1.3,-1.2,"$2,087,519"
