Number,Name,WS,BPM,VORP,DARKO,CPM,Salary
262,Simone Fontecchio,1.6,-2.9,-0.3,-1.7,-1.9,"$7,692,308"
168,Bennedict Mathurin,3,-2.9,-0.5,-2.1,-2.1,"$7,245,720"
360,Kris Murray,0.7,-3,-0.3,-0.8,-0.9,"$2,990,040"
235,Julian Phillips,1.9,-3,-0.3,-1.1,-1.1,"$1,891,857"
244,Ron Holland,1.8,-3,-0.3,-0.9,-1.3,"$8,245,320"
290,Jericho Sims,1.3,-3,-0.2,-1.8,-1.6,"$2,092,344"
305,Ja'Kobe Walter,1.2,-3,-0.3,-1.8,-1.8,"$3,465,000"
129,Yves Missi,3.6,-3,-0.5,-2.4,-1.9,"$3,193,200"
356,Trendon Watford,0.7,-3.1,-0.3,-1.2,-1.4,"$2,726,603"
278,Pelle Larsson,1.4,-3.1,-0.2,-1.8,-1.5,"$1,157,153"
309,Andre Drummond,1.2,-3.2,-0.2,-0.9,-1.1,"$5,000,000"
411,Devin Carter,0.4,-3.2,-0.1,-0.9,-1.1,"$4,689,000"
381,Caleb Martin,0.6,-3.2,-0.4,-1.8,-1.8,"$9,186,594"
311,Stephon Castle,1.1,-3.2,-0.6,-1.7,-1.9,"$9,105,120"
453,Patty Mills,0.1,-3.2,-0.1,-2.4,-2.2,"$2,087,519"
282,Gradey Dick,1.4,-3.2,-0.5,-2.4,-2.8,"$4,763,760"
413,Antonio Reeves,0.4,-3.2,-0.2,-1.7,-2.9,"$1,157,153"
410,Doug McDermott,0.4,-3.2,-0.1,-2.3,-3.1,"$2,087,519"
459,Malaki Branham,0.1,-3.2,-0.1,-3.5,-3.8,"$3,217,920"
332,Daniel Theis,1,-3.3,-0.2,,-1,"$2,087,519"
510,Alex Sarr,-0.3,-3.3,-0.6,-2.6,-1.9,"$11,245,680"
164,Nick Richards,3,-3.3,-0.4,-1.7,-2.1,"$5,000,000"
384,Keon Johnson,0.5,-3.3,-0.6,-1.6,-2.8,"$2,162,606"
299,Orlando Robinson,1.2,-3.4,-0.3,-2.9,-2.1,"$1,691,610"
308,Andre Jackson Jr.,1.2,-3.4,-0.3,-2.9,-2.9,"$1,891,857"
479,Svi Mykhailiuk,-0.1,-3.5,-0.3,-0.9,-1.4,"$3,500,000"
241,Zaccharie Risacher,1.8,-3.5,-0.7,-2.5,-2.8,"$12,569,040"
408,Herbert Jones,0.4,-3.6,-0.3,1.4,1.9,"$12,976,362"
351,Bismack Biyombo,0.8,-3.6,-0.2,-2.5,-2,"$647,851"
439,Garrett Temple,0.2,-3.6,-0.1,-2.4,-2.4,"$2,087,519"
287,KJ Martin,1.3,-3.6,-0.4,-2.5,-2.7,"$7,975,000"
460,Leonard Miller,0.1,-3.7,0,-1,-0.7,"$1,891,857"
396,Patrick Williams,0.4,-3.7,-0.7,-1.9,-2.1,"$18,000,000"
472,Dariq Whitehead,0.1,-3.7,-0.1,-1,-2.2,"$3,114,240"
319,Terry Rozier,1,-3.7,-0.7,-2.2,-2.4,"$24,924,126"
317,Corey Kispert,1.1,-3.7,-0.7,-1.3,-3,"$5,705,887"
425,Bilal Coulibaly,0.3,-3.7,-0.8,-3.1,-3.1,"$6,945,240"
337,Justin Edwards,0.9,-3.7,-0.5,-2.6,-3.5,"$425,619"
315,Dalen Terry,1.1,-3.8,-0.5,-1,-1.1,"$3,510,480"
417,Maxi Kleber,0.3,-3.8,-0.3,-1.8,-1.9,"$11,000,000"
368,Bruce Brown,0.7,-3.8,-0.4,-3.1,-2.9,"$23,000,000"
403,Jordan Walsh,0.4,-3.9,-0.2,-0.6,-1.6,"$1,891,857"
238,Jalen Wilson,1.9,-3.9,-1,-1.9,-2.6,"$1,891,857"
293,Gabe Vincent,1.3,-4,-0.8,-1.9,-1.5,"$11,000,000"
449,Reggie Jackson,0.1,-4,-0.2,,-1.9,"$4,033,748"
348,Dillon Jones,0.8,-4,-0.3,-2.4,-2.1,"$2,622,360"
471,E.J. Liddell,0.1,-4.1,0,-0.9,-1.2,"$706,898"
461,Kyshawn George,0.1,-4.1,-0.9,-1.6,-1.4,"$2,825,520"
320,Ryan Dunn,1,-4.1,-0.7,-2.4,-1.6,"$2,530,800"
382,Noah Clowney,0.5,-4.1,-0.5,-1.3,-2.1,"$3,244,080"
347,Jamal Shead,0.8,-4.1,-0.8,-3.2,-3,"$1,862,265"
435,Lamar Stevens,0.2,-4.2,-0.1,-0.7,-0.8,"$623,856"
446,Blake Wesley,0.2,-4.2,-0.4,-0.7,-1.6,"$2,624,280"
448,Rob Dillingham,0.1,-4.2,-0.3,-3.3,-3.5,"$6,262,920"
434,Marcus Bagley,0.2,-4.3,-0.1,,-1.5,"$126,356"
373,Ricky Council IV,0.6,-4.3,-0.7,-1.5,-1.8,"$1,891,857"
272,Josh Green,1.5,-4.3,-1.1,-0.9,-2.1,"$12,654,321"
464,Jae Crowder,0.1,-4.3,-0.1,-2.2,-2.2,"$1,655,619"
458,MarJon Beauchamp,0.1,-4.3,-0.1,-2.3,-2.6,"$2,733,720"
432,Maxwell Lewis,0.2,-4.4,-0.2,-2,-2.9,"$1,891,857"
389,Anthony Gill,0.5,-4.5,-0.3,-1.8,-2.1,"$2,237,691"
288,Julian Strawther,1.3,-4.5,-0.9,-2.8,-3.2,"$2,552,520"
444,Bub Carrington,0.2,-4.6,-1.6,,-1.8,"$4,454,880"
393,Tristan Thompson,0.4,-4.6,-0.2,-3.5,-2.6,"$2,087,519"
483,Markelle Fultz,-0.1,-4.7,-0.1,-2.1,-2.2,"$731,831"
378,DaQuan Jeffries,0.6,-4.7,-0.7,-2.2,-3,"$2,425,404"
509,Jaden Hardy,-0.3,-4.7,-0.6,-1.7,-3.2,"$2,019,699"
451,Rayan Rupert,0.1,-4.7,-0.3,-2.5,-3.3,"$1,891,857"
407,Hunter Tyson,0.4,-4.8,-0.3,-2.7,-3,"$1,891,857"
519,Kyle Kuzma,-0.9,-4.9,-1.4,-3,-3,"$24,456,061"
366,Colin Castleton,0.7,-5,-0.3,-3.1,-2.8,"$421,081"
495,Damion Lee,-0.1,-5.1,-0.1,-1.3,-1.6,"$2,087,519"
481,Sidy Cissoko,-0.1,-5.1,-0.1,-1.7,-1.8,"$1,891,857"
395,Taj Gibson,0.4,-5.3,-0.3,-3.3,-2.7,"$2,087,519"
467,GG Jackson II,0.1,-5.3,-0.4,-2.9,-2.7,"$1,891,857"
463,Jett Howard,0.1,-5.3,-0.6,-3,-3.3,"$5,278,320"
518,Isaiah Collier,-0.8,-5.3,-1.6,-2.2,-3.4,"$2,512,680"
419,Kylor Kelley,0.3,-5.4,-0.1,,-0.8,"$73,153"
515,Jordan Hawkins,-0.5,-5.4,-1.2,-3,-4,"$4,525,680"
457,Nae'Qwan Tomlin,0.1,-5.5,-0.1,-2.6,-3.1,"$66,503"
474,Ariel Hukporti,0.1,-5.6,-0.2,-2.6,-3.1,"$1,064,049"
505,Jaylen Nowell,-0.2,-5.7,-0.2,,-1,"$446,743"
514,Nick Smith Jr.,-0.5,-5.7,-1.3,-4.1,-3.9,"$2,587,200"
473,Chris Livingston,0.1,-6.1,-0.1,-1.7,-2.1,"$1,891,857"
506,JD Davison,-0.2,-6.2,-0.1,-0.8,-1.3,"$11,997"
456,Oshae Brissett,0.1,-6.3,-0.1,-1.4,-1.5,"$119,972"
517,Elfrid Payton,-0.6,-6.4,-0.6,,-1.9,"$789,048"
487,Josh Richardson,-0.1,-6.7,-0.2,,-1.1,"$3,051,153"
492,Jalen Hood-Schifino,-0.1,-6.9,-0.4,-2,-3.5,"$3,879,840"
489,Joe Ingles,-0.1,-7,-0.1,-2.1,-2.2,"$2,087,519"
520,Vasilije Micic,-1,-7,-1,-3.2,-3.4,"$7,723,000"
475,Vlatko Cancar,-0.1,-7.1,-0.2,-2.2,-2.6,"$2,087,519"
455,P.J. Tucker,0.1,-7.2,-0.1,,-0.8,"$12,025,777"
507,Bronny James,-0.2,-7.2,-0.2,-2.1,-2.9,"$1,157,153"
521,Cody Williams,-1.2,-7.3,-1.4,-3.6,-4.4,"$5,469,120"
482,Matt Ryan,-0.1,-7.5,-0.1,,-0.8,"$621,439"
504,Markieff Morris,-0.2,-7.6,-0.2,-4,-4.1,"$2,087,519"
508,Xavier Tillman Sr.,-0.3,-8.1,-0.4,-0.4,-0.7,"$2,237,691"
513,AJ Johnson,-0.4,-8.1,-1,-2.3,-3.6,"$2,795,294"
491,James Johnson,-0.1,-9.7,-0.1,-3.5,-1.7,"$2,087,519"
499,Braxton Key,-0.1,-13.6,0,-2.2,-1.2,"$11,997"
